<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,5,20250317,080500,1.08797,1.08845,1.08781,1.08836,0,0
EURUSD,5,20250317,081000,1.08829,1.08837,1.08807,1.08808,0,0
EURUSD,5,20250317,081500,1.08818,1.08829,1.08776,1.0881,0,0
EURUSD,5,20250317,082000,1.08811,1.08814,1.08775,1.08779,0,0
EURUSD,5,20250317,082500,1.08779,1.08789,1.08749,1.08762,0,0
EURUSD,5,20250317,083000,1.08764,1.08778,1.08688,1.08714,0,0
EURUSD,5,20250317,083500,1.08719,1.08747,1.08703,1.08712,0,0
EURUSD,5,20250317,084000,1.08709,1.08753,1.08709,1.08741,0,0
EURUSD,5,20250317,084500,1.08727,1.08751,1.08709,1.08751,0,0
EURUSD,5,20250317,085000,1.08753,1.08784,1.08748,1.08771,0,0
EURUSD,5,20250317,085500,1.08768,1.08791,1.08748,1.08761,0,0
EURUSD,5,20250317,090000,1.08757,1.08779,1.08709,1.08734,0,0
EURUSD,5,20250317,090500,1.08745,1.08798,1.08745,1.0878,0,0
EURUSD,5,20250317,091000,1.08778,1.08837,1.08778,1.08834,0,0
